"","Rank","Title","authorName","avg_rating","rater","score","voter","price","First_published","pages","reviews","followers","top_genre","second_genre","third_genre","fourth_genre","fifth_genre","Five_stars","Four_stars","Three_stars","Two_stars","One_stars","cover_type","author_avg_rating"
"23",23,"Divergent","Veronica Roth",4.14,4094795,957628,10041,NA,"April 25, 2011",487,122889,461000,"Young Adult","Dystopia","Fantasy","Fiction","Science Fiction",46,30,16,4,2," Paperback","4.01"
"24",24,"Memoirs of a Geisha","Arthur Golden",4.15,2032930,944613,9840,"12.99","September 23, 1997",503,36942,2871,"Fiction","Historical Fiction","Romance","Historical","Japan",43,35,16,3,1," Mass Market Paperback","4.15"
"25",25,"Les Misérables","Victor Hugo",4.2,809725,929890,9763,"6.99","January 1, 1862",1463,23460,12300,"Fiction","Historical Fiction","Literature","France","Historical",49,29,14,4,2," Mass Market Paperback","4.16"
"26",26,"The Alchemist","Paulo Coelho",3.91,3189892,920773,9619,"0.00","January 1, 1988",197,127295,135000,"Fiction","Fantasy","Philosophy","Novels","Self Help",39,28,19,7,4," Paperback","3.82"
"27",27,"Lord of the Flies","William Golding",3.7,2981106,903032,9588,"9.99","September 17, 1954",182,58816,4084,"Fiction","Classics","Young Adult","School","Literature",27,33,24,8,5," Paperback","3.69"
"28",28,"Anne of Green Gables","L.M. Montgomery",4.32,1015433,893444,9400,"3.99","January 1, 1908",320,41460,12000,"Classics","Fiction","Young Adult","Historical Fiction","Childrens",54,28,12,3,1," Paperback","4.25"
"29",29,"Romeo and Juliet","William Shakespeare",3.74,2661391,885964,9488,"0.99","January 1, 1597",281,33554,44400,"Plays","Fiction","Classics","School","Read For School",29,30,26,9,3," Mass Market Paperback","3.86"
"30",30,"City of Bones","Cassandra Clare",4.07,2045102,839840,8821,NA,"March 27, 2007",485,77656,273000,"Fantasy","Young Adult","Romance","Paranormal","Urban Fantasy",44,29,17,5,2," Hardcover","4.22"
"31",31,"The Hitchhiker’s Guide to the Galaxy","Douglas Adams",4.23,1889941,836521,8672,NA,"October 12, 1979",216,48475,22800,"Science Fiction","Fiction","Humor","Fantasy","Comedy",50,29,13,3,2," Mass Market Paperback","4.2"
"32",32,"The Help","Kathryn Stockett",4.47,2840832,821490,8766,"14.99","February 10, 2009",464,91617,14000,"Fiction","Historical Fiction","Historical","Adult","Adult Fiction",60,28,8,1,1," Hardcover","4.47"
"33",33,"Dracula","Bram Stoker",4.02,1315241,811361,8707,"0.99","May 26, 1897",488,49197,5204,"Horror","Fiction","Fantasy","Vampires","Gothic",37,35,20,4,1," Paperback","4.0"
"34",34,"Charlotte’s Web","E.B. White",4.2,1896913,793411,8545,"6.99","October 15, 1952",184,24714,2958,"Fiction","Childrens","Classics","Fantasy","Young Adult",48,29,15,3,1," Paperback","4.18"
"35",35,"Ender’s Game","Orson Scott Card",4.31,1403118,788272,8220,NA,"January 15, 1985",324,50848,20000,"Science Fiction","Fiction","Young Adult","Fantasy","Classics",53,29,11,3,1," Mass Market Paperback","4.11"
"36",36,"Of Mice and Men","John Steinbeck",3.89,2619545,778707,8384,"8.99","February 25, 1937",107,55987,23600,"Fiction","School","Historical Fiction","Literature","Read For School",32,35,22,6,2," Paperback","3.96"
"37",37,"Fahrenheit 451","Ray Bradbury",3.96,2515151,762242,8082,"12.99","October 19, 1953",194,78130,23500,"Fiction","Science Fiction","Dystopia","Classics","School",35,35,20,5,2," Kindle Edition","3.98"
"38",38,"The Catcher in the Rye","J.D. Salinger",3.8,3622557,753096,8093,"9.99","July 16, 1951",277,89489,15400,"Classics","Fiction","Young Adult","Literature","School",34,30,21,8,5," Paperback","3.83"
"39",39,"One Hundred Years of Solitude","Gabriel García Márquez",4.12,1002000,731323,7683,"9.99","January 1, 1967",417,48927,38000,"Fiction","Magical Realism","Literature","Fantasy","Historical Fiction",49,26,14,5,3," Mass Market Paperback","3.99"
"40",40,"Brave New World","Aldous Huxley",3.99,1911711,729521,7819,"4.99","January 1, 1932",268,50674,12600,"Classics","Fiction","Science Fiction","Dystopia","Literature",36,35,19,5,2," Paperback","3.99"
"41",41,"A Thousand Splendid Suns","Khaled Hosseini",4.44,1585224,720966,7617,"12.99","May 1, 2007",372,80949,156000,"Fiction","Historical Fiction","Historical","Novels","Classics",58,30,9,1,1," Hardcover","4.35"
"42",42,"The Princess Bride","William Goldman",4.27,913553,698050,7427,"0.00","September 1, 1973",429,27263,2531,"Fantasy","Fiction","Romance","Humor","Adventure",52,29,13,3,1," Paperback","4.26"
"43",43,"The Time Traveler’s Wife","Audrey Niffenegger",4,1809455,697519,7304,"8.99","January 1, 2003",537,54471,12000,"Fiction","Romance","Fantasy","Time Travel","Science Fiction",39,32,18,5,3," ebook","3.95"
"44",44,"The Secret Garden","Frances Hodgson Burnett",4.16,1207993,694910,7603,"3.59","August 1, 1911",331,30258,4482,"Fiction","Classics","Childrens","Young Adult","Historical Fiction",44,33,17,3,1," Hardcover","4.17"
"45",45,"The Outsiders","S.E. Hinton",4.13,1407256,686561,7358,"8.99","April 24, 1967",208,50031,7279,"Classics","Young Adult","Fiction","School","Read For School",43,32,17,4,1," Mass Market Paperback","4.12"
"46",46,"A Game of Thrones","George R.R. Martin",4.44,2559773,681249,7255,NA,"August 6, 1996",835,66261,114000,"Fantasy","Fiction","Epic Fantasy","High Fantasy","Adult",61,26,7,2,1," Mass Market Paperback","4.38"
"47",47,"1984","George Orwell",4.19,4808423,674150,7212,"0.00","June 8, 1949",298,124797,45600,"Classics","Fiction","Science Fiction","Dystopia","Literature",47,32,14,3,2," Kindle Edition","4.1"
"48",48,"Little Women","Louisa May Alcott",4.16,2289267,673637,7408,"2.99","September 30, 1868",449,54853,9602,"Romance","Historical","Literature","Childrens","Young Adult",45,31,16,4,1," Mass Market Paperback","4.13"
"49",49,"A Wrinkle in Time","Madeleine L'Engle",3.98,1225165,627287,6707,NA,"January 1, 1962",218,40490,8837,"Fantasy","Fiction","Classics","Young Adult","Science Fiction",39,31,19,6,3," Paperback","3.99"
"50",50,"Harry Potter and the Deathly Hallows","J.K. Rowling",4.62,3820569,612121,6602,NA,"July 21, 2007",759,89065,228000,"Fantasy","Young Adult","Fiction","Magic","Childrens",72,19,5,1,1," Hardcover","4.46"
"51",51,"The Odyssey","Homer",3.81,1110364,609130,6656,"14.99","January 1, 701",541,20570,6138,"Fiction","Poetry","Mythology","Classics","Fantasy",32,32,23,7,3," Paperback","3.86"
"52",52,"Frankenstein: The 1818 Text","Mary Wollstonecraft Shelley",3.88,1656465,601093,6623,"3.60","January 1, 1818",260,67697,7192,"Horror","Fiction","Science Fiction","Gothic","Fantasy",32,34,23,6,2," Paperback","3.87"
"53",53,"The Kite Runner","Khaled Hosseini",4.35,3236518,595834,6440,"13.99","May 29, 2003",371,102077,156000,"Fiction","Historical Fiction","Contemporary","Novels","Historical",54,31,10,2,1," Paperback","4.35"
"54",54,"The Giver","Lois Lowry",4.12,2569938,582793,6302,"11.99","April 26, 1993",208,81691,21700,"Young Adult","Fiction","Classics","Dystopia","Science Fiction",43,32,16,4,1," Paperback","4.1"
"55",55,"The Handmaid’s Tale","Margaret Atwood",4.14,2128338,578847,6301,NA,"January 1, 1985",311,100986,83700,"Fiction","Classics","Dystopia","Science Fiction","Feminism",43,35,15,4,1," Paperback","4.05"
"56",56,"Where the Wild Things Are","Maurice Sendak",4.25,1019438,562223,6122,NA,"April 9, 1963",38,14172,2134,"Picture Books","Childrens","Fiction","Classics","Fantasy",55,24,13,4,2," Paperback","4.22"
"57",57,"The Lovely Bones","Alice Sebold",3.86,2390320,561351,6052,"0.00","July 3, 2002",372,47520,4945,"Fiction","Mystery","Young Adult","Contemporary","Fantasy",32,35,22,6,3," Mass Market Paperback","3.84"
"58",58,"The Adventures of Huckleberry Finn","Mark Twain",3.83,1282658,558359,6151,"2.95","February 18, 1884",327,20944,17900,"Fiction","Classics","Historical Fiction","Literature","Adventure",30,34,24,7,2," Paperback","3.87"
"59",59,"Green Eggs and Ham","Dr. Seuss",4.31,795255,556873,6115,NA,"August 12, 1960",64,11749,17900,"Childrens","Picture Books","Classics","Fiction","Poetry",57,23,13,3,2," Hardcover","4.27"
"60",60,"Life of Pi","Yann Martel",3.94,1660520,542637,5865,"0.00","September 11, 2001",460,54500,4971,"Fiction","Fantasy","Classics","Adventure","Magical Realism",35,35,19,6,3," Paperback","3.92"
"61",61,"Dune","Frank Herbert",4.28,1451857,537863,5780,NA,"June 1, 1965",658,72336,14900,"Science Fiction","Fiction","Fantasy","Audiobook","Science Fiction Fantasy",51,30,12,3,1," Hardcover","4.13"
"62",62,"A Tale of Two Cities","Charles Dickens",3.87,965796,536195,5880,"0.99","November 26, 1859",489,24349,29300,"Classics","Fiction","Historical Fiction","Literature","Historical",35,32,21,7,3," Paperback","3.91"
"63",63,"Harry Potter and the Prisoner of Azkaban","J.K. Rowling",4.58,4361562,535540,5840,NA,"July 8, 1999",435,88754,228000,"Fantasy","Fiction","Young Adult","Magic","Childrens",68,23,6,1,1," Mass Market Paperback","4.46"
"64",64,"Lolita","Vladimir Nabokov",3.88,875310,529451,5695,"12.99","September 1, 1955",368,42861,13900,"Fiction","Literature","Russia","Novels","Romance",34,33,21,7,3," Paperback","3.88"
"65",65,"Slaughterhouse-Five","Kurt Vonnegut Jr.",4.1,1396856,514908,5556,"4.99","March 31, 1969",275,42220,34600,"Fiction","Science Fiction","Classics","Historical Fiction","War",42,33,16,4,2," Paperback","4.07"
"66",66,"Water for Elephants","Sara Gruen",4.11,1642661,501869,5408,"0.00","May 22, 2006",368,63428,6739,"Fiction","Historical Fiction","Romance","Historical","Adult",40,36,17,4,1," Paperback","4.07"
"67",67,"The Bell Jar","Sylvia Plath",4.06,1032853,476816,5175,"0.00","January 1, 1963",294,64568,24800,"Fiction","Feminism","Mental Health","Psychology","Literature",37,37,18,4,1," Paperback","4.08"
"68",68,"Matilda","Roald Dahl",4.33,995746,468491,5176,"7.99","September 28, 1988",240,24296,25300,"Fiction","Childrens","Fantasy","Middle Grade","Young Adult",53,30,12,2,1," Paperback","4.15"
"69",69,"The Stand","Stephen         King",4.35,780364,452562,4882,"9.99","October 3, 1978",1152,30863,857000,"Horror","Fiction","Fantasy","Science Fiction","Post Apocalyptic",55,28,11,2,1," Hardcover","4.07"
"70",70,"Catch-22","Joseph Heller",3.99,843745,442371,4825,NA,"November 10, 1961",453,24456,2826,"Classics","Fiction","Historical Fiction","War","Humor",40,31,17,6,3," Paperback","3.97"
"71",71,"The Adventures of Sherlock Holmes","Arthur Conan Doyle",4.3,310446,431813,4827,NA,"January 1, 1892",389,9947,23100,"Mystery","Fiction","Short Stories","Crime","Classics",48,36,13,1,1," Paperback","4.17"
"72",72,"The Pillars of the Earth","Ken Follett",4.34,780684,426615,4591,NA,"October 1, 1989",976,38677,55400,"Historical Fiction","Fiction","Historical","Fantasy","Classics",55,28,10,3,1," Paperback","4.24"
"73",73,"Harry Potter and the Sorcerer's Stone","J.K. Rowling",4.47,10414224,421432,4520,NA,"June 26, 1997",309,169998,228000,"Fantasy","Fiction","Young Adult","Magic","Childrens",64,23,8,1,1," Hardcover","4.46"
"74",74,"Rebecca","Daphne du Maurier",4.25,651966,416724,4636,"10.99","August 1, 1938",449,42675,9068,"Fiction","Mystery","Gothic","Romance","Classics",47,34,13,3,1," Kindle Edition","4.15"
"75",75,"The Fellowship of the Ring","J.R.R. Tolkien",4.39,2871457,416503,4666,NA,"July 29, 1954",432,43007,72800,"Fantasy","Classics","Fiction","Adventure","Audiobook",59,25,9,2,1," Kindle Edition","4.36"
"76",76,"Watership Down","Richard  Adams",4.09,487850,412433,4508,NA,"November 1, 1972",478,18151,2061,"Classics","Fiction","Fantasy","Young Adult","Animals",43,31,16,4,3," Mass Market Paperback","4.07"
"77",77,"Great Expectations","Charles Dickens",3.79,821923,404489,4635,"4.99","July 30, 1860",544,23073,29300,"Classics","Fiction","Literature","Historical Fiction","School",31,33,22,8,4," Paperback","3.91"
"78",78,"Outlander","Diana Gabaldon",4.26,1085499,396044,4243,NA,"June 1, 1991",850,55367,178000,"Historical Fiction","Romance","Fantasy","Fiction","Time Travel",55,25,12,4,3," Mass Market Paperback","4.29"
"79",79,"The Color Purple","Alice Walker",4.27,706756,393742,4439,NA,"June 1, 1982",304,27663,6805,"Fiction","Historical Fiction","Feminism","LGBT","Historical",49,33,12,2,1," Paperback","4.24"
"80",80,"The Girl with the Dragon Tattoo","Stieg Larsson",4.17,3255213,393592,4382,NA,"August 1, 2005",480,79412,15900,"Fiction","Mystery","Thriller","Crime","Mystery Thriller",46,33,13,3,2," Hardcover","4.19"
"81",81,"One Flew Over the Cuckoo’s Nest","Ken Kesey",4.2,745631,383636,4341,"9.99","February 1, 1962",325,16881,2734,"Fiction","Classics","Psychology","Literature","Novels",44,36,14,3,1," Mass Market Paperback","4.2"
"82",82,"Anna Karenina","Leo Tolstoy",4.09,869302,379385,4154,"0.99","January 1, 1878",964,37277,25700,"Fiction","Romance","Russia","Historical Fiction","Russian Literature",43,32,16,4,2," Paperback","4.09"
"83",83,"My Sister’s Keeper","Jodi Picoult",4.1,1237847,369811,4068,"0.00","April 6, 2004",423,38369,86100,"Fiction","Chick Lit","Young Adult","Drama","Adult",41,35,17,4,1," Paperback","4.01"
"84",84,"The Brothers Karamazov","Fyodor Dostoevsky",4.37,346443,357774,3937,"3.69","January 1, 1880",796,20466,59300,"Fiction","Russia","Russian Literature","Classics","Literature",57,27,11,2,1," Paperback","4.19"
"85",85,"A Tree Grows in Brooklyn","Betty  Smith",4.3,478288,343766,3778,"0.00","August 18, 1943",496,28576,1841,"Fiction","Historical Fiction","Classics","Young Adult","Coming Of Age",50,32,12,2,1," Paperback","4.28"
"86",86,"And Then There Were None","Agatha Christie",4.28,1425163,342043,3756,"9.99","November 6, 1939",264,69272,68100,"Mystery","Fiction","Thriller","Crime","Mystery Thriller",49,33,12,2,1," Paperback","4.02"
"87",87,"A Clockwork Orange","Anthony Burgess",4,728798,340278,3828,"6.99","January 1, 1962",240,21870,3959,"Fiction","Science Fiction","Dystopia","Horror","Literature",37,36,18,5,2," Paperback","4.01"
"88",88,"The Road","Cormac McCarthy",3.99,939509,333940,3665,"12.99","September 26, 2006",241,62845,25600,"Fiction","Science Fiction","Dystopia","Post Apocalyptic","Horror",38,34,17,6,3," Hardcover","4.03"
"89",89,"To Kill a Mockingbird","Harper Lee",4.26,6337400,327039,3532,NA,"July 11, 1960",323,121359,13800,"Fiction","Historical Fiction","School","Literature","Young Adult",51,29,13,3,1," Paperback","4.22"
"90",90,"It","Stephen         King",4.24,1154137,317210,3413,"12.99","September 15, 1986",1116,37673,857000,"Horror","Fiction","Thriller","Fantasy","Classics",50,29,14,3,1," Paperback","4.07"
"91",91,"The Golden Compass","Philip Pullman",4.02,1552260,316072,3515,NA,"July 1, 1995",399,28477,24600,"Fantasy","Young Adult","Fiction","Childrens","Adventure",41,32,18,5,3," Hardcover","4.06"
"92",92,"The Shining","Stephen         King",4.27,1545700,313827,3462,NA,"January 28, 1977",497,41300,857000,"Horror","Fiction","Thriller","Classics","Fantasy",50,32,12,2,1," Paperback","4.07"
"93",93,"Vampire Academy","Richelle Mead",4.11,657033,311714,3349,NA,"August 16, 2007",332,27145,68700,"Young Adult","Fantasy","Vampires","Paranormal","Romance",46,28,17,5,2," Paperback","4.24"
"94",94,"Siddhartha","Hermann Hesse",4.07,797074,310366,3458,"6.99","October 1, 1922",152,28781,17800,"Classics","Fiction","Philosophy","Spirituality","Religion",41,32,18,5,2," Mass Market Paperback","4.08"
"95",95,"Angela’s Ashes","Frank McCourt",4.15,637953,306046,3417,NA,"September 5, 1996",452,14629,2263,"Nonfiction","Memoir","Biography","Classics","Ireland",43,35,15,3,1," Paperback","4.09"
"96",96,"The Complete Stories and Poems","Edgar Allan Poe",4.4,279938,304521,3441,"1.99","November 1, 1849",821,3329,26600,"Classics","Poetry","Horror","Fiction","Short Stories",56,29,10,1,1," Hardcover","4.13"
"97",97,"Interview with the Vampire","Anne Rice",4.02,606398,299758,3348,NA,"April 12, 1976",346,17844,26200,"Horror","Fantasy","Fiction","Vampires","Paranormal",38,34,20,5,1," Paperback","3.92"
"98",98,"Don Quixote","Miguel de Cervantes Saavedra",3.9,280878,296906,3366,"1.99","January 1, 1605",1023,12700,3189,"Fiction","Classics","Literature","Spanish Literature","Adventure",35,31,22,7,2," Paperback","3.89"
"99",99,"The Old Man and the Sea","Ernest Hemingway",3.8,1192827,292861,3356,"4.27","September 1, 1952",96,42261,29900,"Classics","Fiction","Literature","Novels","School",32,32,22,8,4," Hardcover","3.83"
"100",100,"The Poisonwood Bible","Barbara Kingsolver",4.1,757735,290216,3188,"14.49","September 24, 1998",546,28687,24000,"Fiction","Historical Fiction","Africa","Classics","Literary Fiction",45,31,15,5,3," Paperback","4.14"
"101",101,"Harry Potter and the Goblet of Fire","J.K. Rowling",4.57,3831305,283379,3191,NA,"July 8, 2000",734,73219,228000,"Fantasy","Fiction","Young Adult","Magic","Childrens",67,24,6,1,1," Paperback","4.46"
"102",102,"Atlas Shrugged","Ayn Rand",3.69,394850,259690,2854,"7.99","October 10, 1957",1168,20489,9724,"Fiction","Classics","Philosophy","Politics","Literature",36,26,17,9,0," Paperback","3.77"
"103",103,"The Notebook","Nicholas Sparks",4.15,1736814,258618,2909,NA,"October 1, 1996",227,26573,232000,"Romance","Fiction","Chick Lit","Contemporary","Adult",49,27,15,5,3," Kindle Edition","4.11"
"104",104,"Winnie-the-Pooh","A.A. Milne",4.38,378926,253119,2965,NA,"October 14, 1926",161,8122,3407,"Childrens","Fiction","Classics","Fantasy","Animals",58,25,11,2,1," Hardcover","4.35"
"105",105,"Fahrenheit 451","Ray Bradbury",3.96,2515151,249103,2736,"3.99","October 19, 1953",158,78130,23500,"Fiction","Science Fiction","Dystopia","Classics","School",35,35,20,5,2," Mass Market Paperback","3.98"
"106",106,"Harry Potter and the Half-Blood Prince","J.K. Rowling",4.58,3380266,239968,2747,NA,"July 16, 2005",652,60996,228000,"Fantasy","Fiction","Young Adult","Magic","Childrens",68,23,6,1,1," Paperback","4.46"
"107",107,"Moby-Dick or, The Whale","Herman Melville",3.55,575962,228984,2628,"0.99","October 18, 1851",720,24025,4126,"Classics","Fiction","Literature","Adventure","Historical Fiction",28,26,25,2,7," Paperback","3.59"
"108",108,"A Prayer for Owen Meany","John Irving",4.24,325534,219955,2418,"13.49","January 1, 1989",637,16779,15200,"Fiction","Classics","Contemporary","Literature","Literary Fiction",50,30,13,3,1," Paperback","4.01"
"109",109,"Clockwork Angel","Cassandra Clare",4.31,845039,199131,2186,NA,"August 31, 2010",479,43615,273000,"Fantasy","Young Adult","Romance","Paranormal","Steampunk",53,29,12,2,1," Hardcover","4.22"
"110",110,"The Stranger","Albert Camus",4.03,1168552,196388,2230,"8.99","May 19, 1942",123,55982,32500,"Classics","Fiction","Philosophy","France","Literature",36,37,19,4,1," Paperback","4.03"
"111",111,"Harry Potter and the Chamber of Secrets","J.K. Rowling",4.43,4079746,190334,2246,NA,"July 2, 1998",352,84018,228000,"Fantasy","Fiction","Young Adult","Magic","Childrens",59,27,10,1,1," Hardcover","4.46"
"112",112,"Harry Potter and the Sorcerer’s Stone","J.K. Rowling",4.47,10414224,189694,2002,NA,"June 26, 1997",333,169998,228000,"Fantasy","Fiction","Young Adult","Magic","Childrens",64,23,8,1,1," Kindle Edition","4.46"
"113",113,"The Secret Life of Bees","Sue Monk Kidd",4.09,1310926,188599,2160,"13.99","November 8, 2001",302,36543,13100,"Fiction","Historical Fiction","Classics","Young Adult","Historical",39,36,17,4,1," Paperback","4.09"
"114",114,"The Red Tent","Anita Diamant",4.2,608725,185791,2080,"0.00","January 1, 1997",324,22595,4468,"Historical Fiction","Fiction","Historical","Religion","Book Club",48,31,14,4,1," Hardcover","4.12"
"115",115,"The Name of the Wind","Patrick Rothfuss",4.52,995894,181309,1927,NA,"March 27, 2007",662,56256,238000,"Fantasy","Fiction","Epic Fantasy","High Fantasy","Audiobook",68,21,6,2,1," Hardcover","4.44"
"116",116,"The Metamorphosis","Franz Kafka",3.88,1184408,176832,2056,"2.17","October 1, 1915",201,49888,32100,"Classics","Fiction","Fantasy","Philosophy","Short Stories",32,35,22,6,2," Paperback","3.9"
"117",117,"The Master and Margarita","Mikhail Bulgakov",4.29,370610,176145,1919,"9.99","January 1, 1967",372,22585,7117,"Fiction","Russia","Fantasy","Russian Literature","Magical Realism",53,28,12,3,1," Paperback","4.22"
"118",118,"The Hobbit","J.R.R. Tolkien",4.29,4128710,175984,2045,"0.00","September 21, 1937",366,75504,72800,"Fantasy","Classics","Fiction","Adventure","Young Adult",53,28,12,3,2," Paperback","4.36"
"119",119,"Eragon","Christopher Paolini",3.95,1823639,163219,1859,NA,"June 1, 2002",503,29561,39900,"Fantasy","Young Adult","Fiction","Dragons","Adventure",39,30,19,6,3," Paperback","4.01"
"120",120,"The Count of Monte Cristo","Alexandre Dumas",4.31,940429,162099,1847,"9.99","August 28, 1844",1276,33418,11300,"Historical Fiction","Adventure","Literature","Historical","France",53,28,12,3,1," Paperback","4.22"
"121",121,"Middlesex","Jeffrey Eugenides",4.03,646764,161017,1802,"0.00","September 4, 2002",529,26834,9804,"Fiction","Historical Fiction","Contemporary","LGBT","Classics",40,33,16,5,3," Paperback","4.02"
"122",122,"Looking for Alaska","John Green",3.96,1647141,160688,1761,"8.99","March 3, 2005",221,77828,308000,"Young Adult","Fiction","Contemporary","Romance","Realistic Fiction",38,32,20,6,2," Paperback","3.98"
"123",123,"The Last Olympian","Rick Riordan",4.55,1049979,159714,1813,NA,"May 5, 2009",381,44968,434000,"Fantasy","Young Adult","Mythology","Fiction","Middle Grade",65,25,7,1,1," Hardcover","4.34"
"124",124,"The Very Hungry Caterpillar","Eric Carle",4.33,520343,159111,1851,NA,"June 3, 1969",26,10803,2205,"Picture Books","Childrens","Fiction","Animals","Classics",60,21,12,3,2," Board book","4.25"
"125",125,"Charlie and the Chocolate Factory","Roald Dahl",4.16,871201,158916,1903,NA,"January 17, 1964",176,17163,25300,"Fiction","Fantasy","Childrens","Young Adult","Middle Grade",44,33,16,3,1," Paperback","4.15"
"126",126,"The Adventures of Tom Sawyer","Mark Twain",3.92,957710,158616,1954,"0.99","June 1, 1876",244,14450,17900,"Fiction","Classics","Adventure","Historical Fiction","Young Adult",33,35,23,5,2," Paperback","3.87"
"127",127,"The Lion, the Witch and the Wardrobe","C.S. Lewis",4.24,2882675,153648,1886,NA,"October 16, 1950",206,35200,43900,"Fantasy","Fiction","Young Adult","Childrens","Classics",49,31,15,3,1," Paperback","4.17"
